"song_id","society_id","Religious","Dance","Mourning","Healing","Lullaby","group"
4428,10027,0,1,0,0,0,1
4429,10027,0,1,0,0,0,1
4430,10027,0,1,0,0,0,1
4431,10027,0,1,0,0,0,0
4431,10027,0,1,0,0,0,1
1937,10099,1,1,0,0,0,1
1936,10099,0,1,0,0,0,0
1933,10099,0,0,1,0,0,1
1931,10099,0,1,0,0,0,1
9975,10247,0,1,0,0,0,1
9977,10247,0,1,0,0,0,1
9978,10247,0,1,0,0,0,1
3452,10495,0,0,0,1,0,1
3453,10495,0,0,0,1,0,0
709,10495,1,0,0,0,0,0
4275,10528,1,1,0,0,0,1
4276,10528,0,1,0,0,0,1
293,11067,0,1,0,0,0,1
2573,11155,0,1,0,0,0,1
2572,11155,0,1,0,0,0,1
2576,11155,0,1,0,0,0,1
2577,11155,0,1,0,0,0,1
2575,11155,0,0,1,0,0,1
2579,11155,0,0,1,0,0,1
2920,11215,0,1,0,0,0,1
448,11364,0,1,0,0,0,1
3602,11529,0,1,0,0,0,1
3600,11529,0,1,0,0,0,1
9255,11600,1,0,0,0,0,1
2169,11672,1,0,0,0,0,1
3298,11672,0,1,0,0,0,1
3299,11672,0,1,0,0,0,1
2172,11672,0,1,0,0,0,1
2173,11672,0,1,0,0,0,0
2173,11672,0,1,0,0,0,1
3300,11672,0,0,1,0,0,1
1914,11793,0,0,0,0,1,1
1490,11870,0,1,0,0,0,1
2204,11870,1,1,1,0,0,1
1493,11870,1,1,1,0,0,1
457,11870,0,1,0,0,0,1
1495,11870,0,1,0,0,0,1
9490,11870,1,1,0,0,0,1
9265,11892,0,1,0,0,0,1
1954,12002,0,1,0,0,0,1
9927,12084,1,0,0,0,0,1
9928,12084,0,1,0,0,0,1
9931,12084,0,0,1,0,0,1
3304,12112,0,1,0,0,0,1
3664,12112,0,1,0,0,0,1
3663,12112,0,1,0,0,0,1
3665,12112,0,1,0,0,0,1
2187,12112,0,1,0,0,0,1
9264,12480,0,1,0,0,0,1
2148,12783,0,1,0,0,0,1
2147,12783,1,0,0,0,0,1
2151,12783,0,0,1,0,0,1
2152,12783,0,1,0,0,0,1
2153,12783,0,1,0,0,0,1
2154,12783,0,1,0,0,0,1
2158,12783,0,1,0,0,0,1
1911,13388,0,1,0,0,0,1
1910,13388,0,1,0,0,0,1
297,13795,0,1,0,0,0,1
3099,13795,0,1,0,0,0,1
3100,13795,0,1,0,0,0,1
1694,13806,0,1,0,0,0,1
1690,13806,0,0,1,0,0,1
1687,13806,0,1,0,0,0,1
1692,13806,0,0,1,0,0,1
1691,13806,0,1,0,0,0,1
2357,14004,1,0,0,0,0,0
2356,14004,0,1,0,0,0,1
2355,14004,0,1,0,0,0,0
2354,14004,0,1,0,0,0,1
2055,14576,0,1,0,0,0,1
2050,14576,0,0,1,0,0,0
1640,14598,0,1,0,0,0,1
1642,14598,0,0,1,0,0,1
1641,14598,0,0,1,0,0,1
2090,14675,0,1,1,0,0,1
1664,14675,0,0,1,0,0,1
2091,14675,0,0,1,0,0,1
2092,14675,0,1,0,0,0,1
2089,14675,0,0,1,0,0,1
9147,14675,0,0,1,0,0,1
2144,15027,1,1,0,0,0,0
2144,15027,1,1,0,0,0,1
2146,15027,1,1,0,0,0,1
2145,15027,0,1,0,0,0,1
2140,15027,1,0,0,0,0,1
2139,15027,0,1,0,0,0,0
2139,15027,0,1,0,0,0,1
2138,15027,0,1,0,0,0,1
2137,15027,0,1,0,0,0,1
30157,15280,0,0,1,0,0,1
2198,15390,0,1,0,0,0,1
221,15544,0,1,0,0,0,1
222,15544,0,1,0,0,0,1
223,15544,0,1,0,0,0,1
218,15544,0,1,0,0,0,1
4197,15566,0,1,0,0,0,1
4198,15566,0,1,0,0,0,1
421,15577,0,1,0,0,0,1
333,15577,0,1,0,0,0,1
420,15577,0,0,0,0,1,0
2565,15577,0,0,0,0,1,0
2568,15577,0,0,1,0,0,0
2527,15687,1,0,0,0,0,1
30019,15995,0,0,1,0,0,1
423,16292,0,0,1,0,0,1
3223,16402,0,1,0,0,0,1
3221,16402,0,1,0,0,0,1
3224,16402,0,1,0,0,0,1
3222,16402,0,1,0,0,0,1
4300,16578,0,1,0,0,0,1
2690,16688,0,1,0,0,0,1
2688,16688,0,0,1,0,0,0
2694,16688,1,0,0,0,0,1
2689,16688,0,1,0,0,0,1
2692,16688,0,1,0,0,0,1
2695,16688,0,1,0,0,0,1
2696,16688,0,1,0,0,0,1
30131,16787,0,0,1,0,0,0
30131,16787,0,0,1,0,0,1
2196,16996,1,0,0,0,0,0
4313,17535,0,1,0,0,0,0
4314,17535,1,0,0,0,0,1
302,17997,0,1,0,0,0,1
301,17997,0,1,0,0,0,1
9160,19014,0,0,1,0,0,1
459,19022,0,1,0,0,0,1
9228,19022,0,0,0,1,0,1
460,19053,1,0,0,0,0,1
9214,19086,1,0,0,0,0,0
244,19262,0,1,0,1,0,1
30050,19262,1,1,0,0,0,1
30051,19262,1,0,0,0,0,1
30055,19262,0,0,0,1,0,1
30054,19262,1,0,0,1,0,1
9368,19262,0,0,0,1,0,1
2474,19614,0,1,0,0,0,1
2473,19614,0,1,0,0,0,1
2475,19614,0,0,1,0,0,0
2471,19614,0,1,0,0,0,1
2472,19614,0,1,0,0,0,1
230,19856,1,0,0,0,0,1
2413,20098,0,1,0,0,0,1
2414,20098,0,1,0,0,0,1
2416,20098,0,1,0,0,0,1
2415,20098,0,1,0,1,0,1
2417,20098,0,0,1,0,0,1
2411,20098,0,0,1,0,0,1
2698,20131,0,1,0,0,0,1
309,20219,0,1,0,0,0,1
2911,20219,0,0,1,0,0,1
2697,20219,0,1,0,0,0,1
2700,20219,0,1,0,0,0,1
3203,20230,0,1,0,0,0,1
3206,20230,0,1,0,0,0,1
3207,20230,0,1,0,0,0,1
3200,20230,0,1,0,0,0,1
3199,20230,0,1,0,0,0,1
3198,20230,0,1,0,0,0,1
2396,20241,0,1,0,0,0,1
3102,20252,0,1,0,0,0,1
3103,20252,0,1,0,0,0,1
3104,20252,0,1,0,0,0,1
3097,20252,0,1,0,0,0,1
2181,20439,0,0,0,1,0,1
2180,20439,1,0,0,0,0,1
9428,20477,0,1,0,0,0,1
3177,20615,1,1,0,0,0,1
3176,20615,0,1,0,0,0,1
3175,20615,0,1,0,0,0,1
9419,20615,0,1,0,0,0,1
2795,20681,0,0,1,0,0,1
232,20681,0,1,0,0,0,1
3213,20967,0,1,0,0,0,0
3213,20967,0,1,0,0,0,1
2289,20967,0,1,0,0,0,1
3362,21044,0,1,0,0,0,1
3361,21044,0,1,0,0,0,1
3366,21044,0,1,0,0,0,1
3363,21044,0,1,0,0,0,1
3364,21044,0,1,0,1,0,1
3365,21044,0,1,0,0,0,1
3359,21044,0,1,0,0,0,1
314,21077,0,1,0,0,0,1
