"X","song_id","society_id","var_id","code","ID","group","group.score"
1,4241,10000,"line_1",6,0,1,2
2,30236,24696,"line_1",2,1,0,5
3,2817,24696,"line_1",2,2,0,5
4,2816,24696,"line_1",2,3,0,5
5,2815,24696,"line_1",2,4,0,5
6,2814,24696,"line_1",2,5,0,5
7,2813,24696,"line_1",2,6,0,5
8,9459,24619,"line_1",2,7,0,5
9,9329,24619,"line_1",2,8,0,5
10,30237,24696,"line_1",2,9,0,5
11,9313,24619,"line_1",10,10,1,4
12,9313,24619,"line_1",13,11,1,1
13,475,24619,"line_1",2,12,0,5
14,474,24619,"line_1",8,13,1,4
15,471,24619,"line_1",10,14,1,4
16,470,24619,"line_1",11,15,1,4
17,469,24619,"line_1",10,16,1,4
18,3254,24608,"line_1",8,17,1,4
19,3253,24608,"line_1",10,18,1,4
20,612,24608,"line_1",2,19,0,5
21,4163,24619,"line_1",2,20,0,5
22,30238,24696,"line_1",2,21,0,5
23,30467,24696,"line_1",6,22,1,2
24,30631,24696,"line_1",6,23,1,2
25,2110,24707,"line_1",11,24,1,4
26,2102,24707,"line_1",6,25,1,2
27,2101,24707,"line_1",6,26,1,2
28,2100,24707,"line_1",5,27,1,2
29,2099,24707,"line_1",13,28,1,1
30,1620,24707,"line_1",6,29,1,2
31,25,24707,"line_1",10,30,1,4
32,25,24707,"line_1",13,31,1,1
33,30643,24696,"line_1",8,32,1,4
34,30642,24696,"line_1",8,33,1,4
35,30641,24696,"line_1",8,34,1,4
36,30640,24696,"line_1",6,35,1,2
37,30639,24696,"line_1",6,36,1,2
38,30638,24696,"line_1",6,37,1,2
39,30637,24696,"line_1",6,38,1,2
40,30636,24696,"line_1",6,39,1,2
41,30635,24696,"line_1",6,40,1,2
42,30634,24696,"line_1",6,41,1,2
43,30633,24696,"line_1",6,42,1,2
44,30632,24696,"line_1",6,43,1,2
45,30077,24597,"line_1",13,44,1,1
46,2167,24707,"line_1",11,45,1,4
47,30076,24597,"line_1",13,46,1,1
48,9236,24597,"line_1",13,47,1,1
49,367,24564,"line_1",7,48,1,NA
50,8004,24540,"line_1",2,49,0,5
51,974,24540,"line_1",7,50,1,NA
52,760,24540,"line_1",2,51,0,5
53,759,24540,"line_1",8,52,1,4
54,748,24540,"line_1",2,53,0,5
55,559,24520,"line_1",2,54,0,5
56,9446,24472,"line_1",10,55,1,4
57,368,24564,"line_1",8,56,1,4
58,9108,24472,"line_1",9,57,1,3
59,4404,24472,"line_1",12,58,1,3
60,4404,24472,"line_1",13,59,1,1
61,4403,24472,"line_1",12,60,1,3
62,4402,24472,"line_1",13,61,1,1
63,9175,24468,"line_1",8,62,1,4
64,8012,24468,"line_1",2,63,0,5
65,30465,24440,"line_1",8,64,1,4
66,30464,24440,"line_1",8,65,1,4
67,30463,24440,"line_1",8,66,1,4
68,30463,24440,"line_1",9,67,1,3
69,4464,24472,"line_1",12,68,1,3
70,4464,24472,"line_1",13,69,1,1
71,3011,24564,"line_1",4,70,0,5
72,3011,24564,"line_1",6,71,1,2
73,3012,24564,"line_1",2,72,0,5
74,3013,24564,"line_1",2,73,0,5
75,4121,24597,"line_1",2,74,0,5
76,4120,24597,"line_1",2,75,0,5
77,4119,24597,"line_1",6,76,1,2
78,4118,24597,"line_1",12,77,1,3
79,4117,24597,"line_1",13,78,1,1
80,4116,24597,"line_1",10,79,1,4
81,3536,24575,"line_1",6,80,1,2
82,3535,24575,"line_1",5,81,1,2
83,3534,24575,"line_1",5,82,1,2
84,3533,24575,"line_1",2,83,0,5
85,3532,24575,"line_1",2,84,0,5
86,3531,24575,"line_1",6,85,1,2
87,3530,24575,"line_1",6,86,1,2
88,3529,24575,"line_1",6,87,1,2
89,3528,24575,"line_1",2,88,0,5
90,196,24575,"line_1",6,89,1,2
91,3016,24564,"line_1",2,90,0,5
92,3015,24564,"line_1",8,91,1,4
93,3014,24564,"line_1",2,92,0,5
94,9488,24597,"line_1",12,93,1,3
95,30462,24440,"line_1",8,94,1,4
96,2175,24707,"line_1",10,95,1,4
97,2177,24707,"line_1",6,96,1,2
98,3729,25180,"line_1",8,97,1,4
99,3729,25180,"line_1",10,98,1,4
100,3728,25180,"line_1",12,99,1,3
101,9693,25163,"line_1",2,100,0,5
102,3873,25081,"line_1",8,101,1,4
103,9474,25071,"line_1",2,102,0,5
104,9410,25071,"line_1",2,103,0,5
105,9332,25071,"line_1",2,104,0,5
106,2304,25071,"line_1",2,105,0,5
107,3874,25191,"line_1",8,106,1,4
108,9400,25070,"line_1",2,107,0,5
109,1711,25070,"line_1",8,108,1,4
110,9597,25053,"line_1",12,109,1,3
111,9596,25053,"line_1",12,110,1,3
112,9595,25053,"line_1",5,111,1,2
113,9594,25053,"line_1",12,112,1,3
114,9593,25053,"line_1",11,113,1,4
115,9592,25053,"line_1",11,114,1,4
116,9592,25053,"line_1",12,115,1,3
117,9591,25053,"line_1",12,116,1,3
118,9364,25070,"line_1",8,117,1,4
119,868,25213,"line_1",2,118,0,5
120,346,25220,"line_1",12,119,1,3
121,349,25224,"line_1",9,120,1,3
122,2059,25411,"line_1",2,121,0,5
123,2058,25411,"line_1",2,122,0,5
124,784,25389,"line_1",2,123,0,5
125,2986,25378,"line_1",2,124,0,5
126,2985,25378,"line_1",8,125,1,4
127,2421,22386,"line_1",2,126,0,5
128,9018,25350,"line_1",6,127,1,2
129,9017,25350,"line_1",5,128,1,2
130,9016,25350,"line_1",6,129,1,2
131,2959,25246,"line_1",2,130,0,5
132,2958,25246,"line_1",2,131,0,5
133,2957,25246,"line_1",6,132,1,2
134,2956,25246,"line_1",6,133,1,2
135,2955,25246,"line_1",2,134,0,5
136,2954,25246,"line_1",2,135,0,5
137,2953,25246,"line_1",2,136,0,5
138,2952,25246,"line_1",6,137,1,2
139,2951,25246,"line_1",2,138,0,5
140,2950,25246,"line_1",6,139,1,2
141,3850,24916,"line_1",6,140,1,2
142,2176,62572,"line_1",5,141,1,2
143,30037,24828,"line_1",8,142,1,4
144,30035,24828,"line_1",6,143,1,2
145,2535,24795,"line_1",8,144,1,4
146,115,24795,"line_1",6,145,1,2
