"X","indx","trigger1","trigger2","trigger3","context1","context2","context3","function1","function2","function3","content1","content2","content3","content4","time_start","time_end","duration","recur","singers_n","singers_age1","singers_age2","shape_type","appear_paint","appear_adorn","appear_cloth","appear_mask","appear_obj","restrict_sex","restrict_marry","restrict_grp1","restrict_grp2","audience_n","audience_age1","audience_age2","audience_sex","audience_marry","audience_grp1","audience_grp2","instrument_type1","instrument_type2","instrument_type3","text_duplicate","id_nhs","group"
2,2,"Location",".",".","Humor",".",".","Drives and emotions","Humor",".",".",".",".",".",".",".",".",".","Multiple singers (number unknown)","Adult",".",".",".",".","Butt & groin",".",".","Male",".","Singers/musicians (e.g., bards, minstrels)",".","Multiple singers (number unknown)","Child","Adult",".",".",".",".",".",".",".",0,"NHS-C108",1
3,3,"War",".",".","Cultural identity and pride",".",".","Intra-community relations",".",".",".",".",".",".",".",".",".",".","Solo singer",".",".",".",".",".",".",".",".","Male",".","Singers/musicians (e.g., bards, minstrels)","Raiders, warriors, head-hunters, etc.",".",".",".",".",".",".",".","Membranophone",".",".",0,"NHS-C108",0
5,5,"Spectacles",".",".","Games",".",".","Drives and emotions","Games",".",".",".",".",".","Evening (1900 to 2200)","Evening (1900 to 2200)",".",".","Multiple singers (number unknown)","Adolescent/young adult",".",".",".",".",".",".",".",".",".",".",".",".",".",".","Both sexes","Unmarried","Adolescents",".",".",".",".",0,"NHS-C108",1
6,6,"Religious practices (religious experiences, prayers, sacrifices, purification, divination)",".",".","Status, role, and prestige",".",".","Religious practices (religious experiences, prayers, sacrifices, purification, divination)",".",".",".",".",".",".",".",".",".",".","Multiple singers (number unknown)","Adult",".",".",".",".",".",".",".",".",".",".",".",".",".",".","Both sexes","Both married & unmarried","Community (mixed-gender groups, includes ""village"")",".",".",".",".",0,"NHS-C108",1
7,7,"Religious practices (religious experiences, prayers, sacrifices, purification, divination)",".",".","Religious practices (religious experiences, prayers, sacrifices, purification, divination)",".",".","Sickness, medical care, and shamans",".",".",".",".",".",".",".",".",".",".","Multiple singers (number unknown)",".",".","Circle",".",".",".",".",".",".",".",".",".","Multiple singers (number unknown)","Adult","Elder","Both sexes","Both married & unmarried","Community (mixed-gender groups, includes ""village"")",".","Membranophone",".",".",0,"NHS-C108",1
8,8,"Religious practices (religious experiences, prayers, sacrifices, purification, divination)",".",".","Religious practices (religious experiences, prayers, sacrifices, purification, divination)",".",".","Religious practices (religious experiences, prayers, sacrifices, purification, divination)",".",".",".",".",".",".",".",".",".",".","Solo singer",".",".",".",".",".",".",".",".","Male",".","Religious people and healers (e.g., shamans, priests, doctors)",".","Multiple singers (number unknown)","Adult","Elder","Both sexes","Both married & unmarried","Community (mixed-gender groups, includes ""village"")",".",".",".",".",0,"NHS-C108",0
10,10,"Sickness, medical care, and shamans","Drives and emotions","Inter-community relations","Religious beliefs (cosmology, spirits, gods, sacred objects and places, mythology)",".",".","Religious practices (religious experiences, prayers, sacrifices, purification, divination)",".",".","Drives and emotions","Religious practices (religious experiences, prayers, sacrifices, purification, divination)",".",".",".",".",".",".","Multiple singers (number unknown)",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",0,"NHS-C108",1
11,11,"Religious practices (religious experiences, prayers, sacrifices, purification, divination)",".",".","Religious practices (religious experiences, prayers, sacrifices, purification, divination)",".",".","Religious practices (religious experiences, prayers, sacrifices, purification, divination)",".",".","Drives and emotions",".",".",".","Early morning (0400 to 0700) (includes daybreak, dawn)","Early morning (0400 to 0700) (includes daybreak, dawn)",".",".","Multiple singers (number unknown)",".",".",".",".",".",".",".",".",".",".",".",".","Multiple singers (number unknown)","Adult",".",".",".",".",".",".",".",".",0,"NHS-C108",1
12,12,"Laws & Rules","Sorcery (creating sickness or bad luck)",".","Drives and emotions",".",".","Drives and emotions","Sickness, medical care, and shamans",".","Drives and emotions",".",".",".",".",".",".",".","Solo singer","Adult",".",".",".",".",".",".",".",".",".",".",".","Multiple singers (number unknown)","Adult",".",".",".",".",".",".",".",".",0,"NHS-C108",0
13,13,"Religious practices (religious experiences, prayers, sacrifices, purification, divination)",".",".","Drives and emotions",".",".","Communication",".",".","Religious beliefs (cosmology, spirits, gods, sacred objects and places, mythology)",".",".",".",".",".",".",".","Solo singer","Adult",".",".",".",".",".",".",".",".",".",".",".","Multiple singers (number unknown)","Adult",".",".",".",".",".",".",".",".",0,"NHS-C108",0
