"","indx","trigger1","trigger2","trigger3","context1","context2","context3","function1","function2","function3","content1","content2","content3","content4","time_start","time_end","duration","recur","singers_n","singers_age1","singers_age2","shape_type","appear_paint","appear_adorn","appear_cloth","appear_mask","appear_obj","restrict_sex","restrict_marry","restrict_grp1","restrict_grp2","audience_n","audience_age1","audience_age2","audience_sex","audience_marry","audience_grp1","audience_grp2","instrument_type1","instrument_type2","instrument_type3"
"1",1,".",".",".",".",".",".","Traditional history",".",".","Kin groups (clans, tribes, nation)","Traditional history",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","Male",".","Singers/musicians (e.g., bards, minstrels)",".",".",".",".","Both sexes","Both married & unmarried","Community (mixed-gender groups, includes ""village"")",".",".",".","."
"2",2,"Location",".",".","Humor",".",".","Drives and emotions","Humor",".",".",".",".",".",".",".",".",".","Multiple singers (number unknown)","Adult",".",".",".",".","Butt & groin",".",".","Male",".","Singers/musicians (e.g., bards, minstrels)",".","Multiple singers (number unknown)","Child","Adult",".",".",".",".",".",".","."
"3",3,"War",".",".","Cultural identity and pride",".",".","Intra-community relations",".",".",".",".",".",".",".",".",".",".","Solo singer",".",".",".",".",".",".",".",".","Male",".","Singers/musicians (e.g., bards, minstrels)","Raiders, warriors, head-hunters, etc.",".",".",".",".",".",".",".","Membranophone",".","."
"4",4,"War",".",".","Drives and emotions",".",".","Drives and emotions","War",".",".",".",".",".",".",".",".",".",".","Adult",".",".",".",".",".",".",".","Female",".","Raiders, warriors, head-hunters, etc.",".",".",".",".","Male",".","Warriors",".",".",".","."
"5",5,"Spectacles",".",".","Games",".",".","Drives and emotions","Games",".",".",".",".",".","Evening (1900 to 2200)","Evening (1900 to 2200)",".",".","Multiple singers (number unknown)","Adolescent/young adult",".",".",".",".",".",".",".",".",".",".",".",".",".",".","Both sexes","Unmarried","Adolescents",".",".",".","."
"6",6,"Religious practices (religious experiences, prayers, sacrifices, purification, divination)",".",".","Status, role, and prestige",".",".","Religious practices (religious experiences, prayers, sacrifices, purification, divination)",".",".",".",".",".",".",".",".",".",".","Multiple singers (number unknown)","Adult",".",".",".",".",".",".",".",".",".",".",".",".",".",".","Both sexes","Both married & unmarried","Community (mixed-gender groups, includes ""village"")",".",".",".","."
"7",7,"Religious practices (religious experiences, prayers, sacrifices, purification, divination)",".",".","Religious practices (religious experiences, prayers, sacrifices, purification, divination)",".",".","Sickness, medical care, and shamans",".",".",".",".",".",".",".",".",".",".","Multiple singers (number unknown)",".",".","Circle",".",".",".",".",".",".",".",".",".","Multiple singers (number unknown)","Adult","Elder","Both sexes","Both married & unmarried","Community (mixed-gender groups, includes ""village"")",".","Membranophone",".","."
"8",8,"Religious practices (religious experiences, prayers, sacrifices, purification, divination)",".",".","Religious practices (religious experiences, prayers, sacrifices, purification, divination)",".",".","Religious practices (religious experiences, prayers, sacrifices, purification, divination)",".",".",".",".",".",".",".",".",".",".","Solo singer",".",".",".",".",".",".",".",".","Male",".","Religious people and healers (e.g., shamans, priests, doctors)",".","Multiple singers (number unknown)","Adult","Elder","Both sexes","Both married & unmarried","Community (mixed-gender groups, includes ""village"")",".",".",".","."
"9",9,"Drives and emotions",".",".",".",".",".",".",".",".","Humor",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"10",10,"Sickness, medical care, and shamans","Drives and emotions","Inter-community relations","Religious beliefs (cosmology, spirits, gods, sacred objects and places, mythology)",".",".","Religious practices (religious experiences, prayers, sacrifices, purification, divination)",".",".","Drives and emotions","Religious practices (religious experiences, prayers, sacrifices, purification, divination)",".",".",".",".",".",".","Multiple singers (number unknown)",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"11",11,"Religious practices (religious experiences, prayers, sacrifices, purification, divination)",".",".","Religious practices (religious experiences, prayers, sacrifices, purification, divination)",".",".","Religious practices (religious experiences, prayers, sacrifices, purification, divination)",".",".","Drives and emotions",".",".",".","Early morning (0400 to 0700) (includes daybreak, dawn)","Early morning (0400 to 0700) (includes daybreak, dawn)",".",".","Multiple singers (number unknown)",".",".",".",".",".",".",".",".",".",".",".",".","Multiple singers (number unknown)","Adult",".",".",".",".",".",".",".","."
"12",12,"Laws & Rules","Sorcery (creating sickness or bad luck)",".","Drives and emotions",".",".","Drives and emotions","Sickness, medical care, and shamans",".","Drives and emotions",".",".",".",".",".",".",".","Solo singer","Adult",".",".",".",".",".",".",".",".",".",".",".","Multiple singers (number unknown)","Adult",".",".",".",".",".",".",".","."
"13",13,"Religious practices (religious experiences, prayers, sacrifices, purification, divination)",".",".","Drives and emotions",".",".","Communication",".",".","Religious beliefs (cosmology, spirits, gods, sacred objects and places, mythology)",".",".",".",".",".",".",".","Solo singer","Adult",".",".",".",".",".",".",".",".",".",".",".","Multiple singers (number unknown)","Adult",".",".",".",".",".",".",".","."
"14",14,"Sickness, medical care, and shamans","Drives and emotions",".","Communication","Religious practices (religious experiences, prayers, sacrifices, purification, divination)",".","Religious practices (religious experiences, prayers, sacrifices, purification, divination)",".",".","Drives and emotions","Status, role, and prestige",".",".",".",".",".",".","Solo singer",".",".",".",".",".",".",".",".",".",".",".",".","Multiple singers (number unknown)","Adult",".",".",".",".",".",".",".","."
"15",15,"Sickness, medical care, and shamans","Drives and emotions",".","Communication","Religious practices (religious experiences, prayers, sacrifices, purification, divination)",".","Religious practices (religious experiences, prayers, sacrifices, purification, divination)",".",".","Drives and emotions",".",".",".",".",".",".",".","Solo singer",".",".",".",".",".",".",".",".",".",".",".",".","Multiple singers (number unknown)","Adult",".",".",".",".",".",".",".","."
"16",16,"Sickness, medical care, and shamans","Drives and emotions",".","Communication","Religious practices (religious experiences, prayers, sacrifices, purification, divination)",".","Religious practices (religious experiences, prayers, sacrifices, purification, divination)",".",".","Sorcery (creating sickness or bad luck)",".",".",".",".",".",".",".","Solo singer",".",".",".",".",".",".",".",".",".",".",".",".","Multiple singers (number unknown)","Adult",".",".",".",".",".",".",".","."
"17",17,"Sickness, medical care, and shamans","Drives and emotions",".","Communication","Religious practices (religious experiences, prayers, sacrifices, purification, divination)",".","Religious practices (religious experiences, prayers, sacrifices, purification, divination)",".",".","Sickness, medical care, and shamans","Drives and emotions",".",".",".",".",".",".","Solo singer",".",".",".",".",".",".",".",".",".",".",".",".","Multiple singers (number unknown)","Adult",".",".",".",".",".",".",".","."
"18",18,"Sickness, medical care, and shamans","Drives and emotions",".","Communication","Religious practices (religious experiences, prayers, sacrifices, purification, divination)",".","Religious practices (religious experiences, prayers, sacrifices, purification, divination)",".",".","Religious beliefs (cosmology, spirits, gods, sacred objects and places, mythology)","Religious practices (religious experiences, prayers, sacrifices, purification, divination)",".",".",".",".",".",".","Solo singer",".",".",".",".",".",".",".",".",".",".",".",".","Multiple singers (number unknown)","Adult",".",".",".",".",".",".",".","."
"19",19,"Puberty and initiation","Religious practices (religious experiences, prayers, sacrifices, purification, divination)",".","Status, role, and prestige","Ingroup antagonisms","Communication",".",".",".","Status, role, and prestige","Ingroup antagonisms","Communication",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"20",20,"War","Religious practices (religious experiences, prayers, sacrifices, purification, divination)",".","Religious beliefs (cosmology, spirits, gods, sacred objects and places, mythology)",".",".","Religious practices (religious experiences, prayers, sacrifices, purification, divination)",".",".",".",".",".",".",".",".",".",".","Multiple singers (number unknown)",".",".",".","Unspecified location",".","Unspecified location",".","1","Female",".","Raiders, warriors, head-hunters, etc.",".","Multiple singers (number unknown)","Adult",".",".",".",".",".",".",".","."
"21",21,"Religious practices (religious experiences, prayers, sacrifices, purification, divination)","Traditional history",".","Religious practices (religious experiences, prayers, sacrifices, purification, divination)",".",".","Religious practices (religious experiences, prayers, sacrifices, purification, divination)",".",".","Religious beliefs (cosmology, spirits, gods, sacred objects and places, mythology)","Drives and emotions","Infancy and childhood","Fauna",".",".",".",".","Multiple singers (number unknown)",".",".",".",".",".",".",".",".",".",".",".",".","Multiple singers (number unknown)","Child","Adult",".",".",".",".",".",".","."
"22",22,"Religious practices (religious experiences, prayers, sacrifices, purification, divination)",".",".","Drives and emotions",".",".","Religious beliefs (cosmology, spirits, gods, sacred objects and places, mythology)","Religious practices (religious experiences, prayers, sacrifices, purification, divination)",".","Infancy and childhood","Family (includes nuclear family, polygamy, adoption)","Drives and emotions",".","Night (2200 to 0400)","Night (2200 to 0400)",".",".","Multiple singers (number unknown)",".",".",".",".",".",".",".",".",".",".","Singers/musicians (e.g., bards, minstrels)",".","Multiple singers (number unknown)","Adult",".","Both sexes","Both married & unmarried","Community (mixed-gender groups, includes ""village"")",".",".",".","."
"23",23,"Religious practices (religious experiences, prayers, sacrifices, purification, divination)",".",".","Drives and emotions",".",".","Religious beliefs (cosmology, spirits, gods, sacred objects and places, mythology)","Religious practices (religious experiences, prayers, sacrifices, purification, divination)",".","Religious beliefs (cosmology, spirits, gods, sacred objects and places, mythology)","Hunting and trapping","Religious practices (religious experiences, prayers, sacrifices, purification, divination)",".","Night (2200 to 0400)","Night (2200 to 0400)",".",".","Multiple singers (number unknown)",".",".",".",".",".",".",".",".",".",".","Singers/musicians (e.g., bards, minstrels)",".","Multiple singers (number unknown)","Adult",".","Both sexes","Both married & unmarried","Community (mixed-gender groups, includes ""village"")",".",".",".","."
"24",24,"Religious practices (religious experiences, prayers, sacrifices, purification, divination)","Religious beliefs (cosmology, spirits, gods, sacred objects and places, mythology)",".","Humor","Religious practices (religious experiences, prayers, sacrifices, purification, divination)",".",".",".",".","Religious beliefs (cosmology, spirits, gods, sacred objects and places, mythology)","Drives and emotions",".",".",".",".",".",".","Multiple singers (number unknown)",".",".",".",".",".",".",".",".",".",".",".",".","Multiple singers (number unknown)","Adult",".",".",".",".",".",".",".","."
"25",25,"Religious practices (religious experiences, prayers, sacrifices, purification, divination)","Religious beliefs (cosmology, spirits, gods, sacred objects and places, mythology)",".","Humor","Religious practices (religious experiences, prayers, sacrifices, purification, divination)",".",".",".",".","Religious beliefs (cosmology, spirits, gods, sacred objects and places, mythology)","Religious practices (religious experiences, prayers, sacrifices, purification, divination)",".",".",".",".",".",".","Multiple singers (number unknown)",".",".",".",".",".",".",".",".",".",".",".",".","Multiple singers (number unknown)","Adult",".",".",".",".",".",".",".","."
